hfpxzc hre,Latitude,Longitude,qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd 2,W4Efsd 3,W4Efsd 4,W4Efsd 5,EgL07d src,R8c4Qb
https://www.google.com/maps/place/Adajan+Police+Station/data=!4m7!3m6!1s0x3be04dd226325767:0x958f8e414f22a267!8m2!3d21.1986043!4d72.7902106!16s%2Fg%2F1tczyzwl!19sChIJZ1cyJtJN4DsRZ6IiT0GOj5U?authuser=0&hl=en&rclk=1,21.198604300000000,72.790210599999995,Adajan Police Station,3.500000000000000,"-46",Police station,·,"5QXR+C3W, Chatrapati Shivaji Marg, Behind Gangeshwar mahadev temple",,0261 273 4100,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,Website
https://www.google.com/maps/place/Sangrampura+police+station/data=!4m7!3m6!1s0x3be04e46aaffffff:0xfc7fb1d0fba5721c!8m2!3d21.1827361!4d72.834008!16s%2Fg%2F11f4ldksxr!19sChIJ____qkZO4DsRHHKl-9Cxf_w?authuser=0&hl=en&rclk=1,25.143534800000001,74.890184099999999,Sangrampura police station,4.000000000000000,"-3",Police station,·,L-36,,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,Directions
https://www.google.com/maps/place/Adajan+Police+Station/data=!4m7!3m6!1s0x3be04d52ba95f1cf:0x5fd3ffe5bad69700!8m2!3d21.1905067!4d72.7945255!16s%2Fg%2F11fjqk28vx!19sChIJz_GVulJN4DsRAJfWuuX_018?authuser=0&hl=en&rclk=1,21.198604300000000,72.790210599999995,Adajan Police Station,4.500000000000000,"-19",Government office,·,"5QRV+6R2, beside CNG Pump",Open 24 hours,,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,Website
https://www.google.com/maps/place/Rander+Police+Station/data=!4m7!3m6!1s0x3be04c24c34c94fd:0x13d258eadb05e48!8m2!3d21.2134543!4d72.7970024!16s%2Fg%2F1tdm25sp!19sChIJ_ZRMwyRM4DsRSF6wrY4lPQE?authuser=0&hl=en&rclk=1,21.218879600000001,72.796075500000001,Rander Police Station,3.400000000000000,"-23",Police department,·,"6Q7W+9RJ, Rander Police Line",·,Open 24 hours,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,Directions
https://www.google.com/maps/place/Rehmat+Nagar+Police+Station/data=!4m7!3m6!1s0x3be04e90e4013c5f:0x3abf3cf64c9f987c!8m2!3d21.2140869!4d72.8187343!16s%2Fg%2F11b5z1njxy!19sChIJXzwB5JBO4DsRfJifTPY8vzo?authuser=0&hl=en&rclk=1,21.214086900000002,72.818734300000003,Rehmat Nagar Police Station,5.000000000000000,"-1",Police station,·,"6R79+JFQ, Ved Rd",,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,Directions
https://www.google.com/maps/place/Udhna+Police+Station/data=!4m7!3m6!1s0x3be04e2d3c0457a5:0x3c82fb8a6ffe00a0!8m2!3d21.1654865!4d72.8508675!16s%2Fg%2F11ckvy65h3!19sChIJpVcEPC1O4DsRoAD-b4r7gjw?authuser=0&hl=en&rclk=1,21.165486500000000,72.850867500000007,Udhna Police Station,4.200000000000000,"-30",Police department,·,"5V82+58X, Rd No 1 MG Rd",·,Open 24 hours,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,Directions
https://www.google.com/maps/place/Varachha+Police+Station/data=!4m7!3m6!1s0x3be04efdb96c5999:0x1b2c0b90e3f070fb!8m2!3d21.2093613!4d72.8495632!16s%2Fg%2F1tfk2x43!19sChIJmVlsuf1O4DsR-3Dw45ALLBs?authuser=0&hl=en&rclk=1,21.209361300000001,72.849563200000006,Varachha Police Station,4.000000000000000,"-69",Police station,·,"6R5X+PRW, Surat - Kamrej Hwy",Open 24 hours,·,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,Website
https://www.google.com/maps/place/Kapodra+Police+Station/data=!4m7!3m6!1s0x3be04f134af7f499:0xea60df5ee59be176!8m2!3d21.2206235!4d72.8755602!16s%2Fg%2F1tdjvg_t!19sChIJmfT3ShNP4DsRduGb5V7fYOo?authuser=0&hl=en&rclk=1,21.220623499999999,72.875560199999995,Kapodra Police Station,3.700000000000000,"-74",Police station,·,"Fire Station, Nana Varachha Roaykgituud, Varachha Main Rd",Open 24 hours,·,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,Website
https://www.google.com/maps/place/Police+Motor+Transport+Department/data=!4m7!3m6!1s0x3be04dd8da92bf79:0xfef688028ec5229b!8m2!3d21.1803807!4d72.8019309!16s%2Fg%2F11bbrbwd8s!19sChIJeb-S2thN4DsRmyLFjgKI9v4?authuser=0&hl=en&rclk=1,16.117515800000000,73.699904599999996,Police Motor Transport Department,3.000000000000000,"-1",Police department,·,"5RJ2+5Q3, Surat - Dumas Rd, Near Police Parade Ground",,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,Directions
https://www.google.com/maps/place/Rokadiya+Chowki/data=!4m7!3m6!1s0x3be04e42346fd44f:0xd2f485b72b4a3d95!8m2!3d21.1836971!4d72.8306986!16s%2Fg%2F1q62cytrl!19sChIJT9RvNEJO4DsRlT1KK7eF9NI?authuser=0&hl=en&rclk=1,21.183697100000000,72.830698600000005,Rokadiya Chowki,4.000000000000000,"-4",Traffic police station,·,"5RMJ+F7G, Udhna Darwaja Flyover",0261 236 5417,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,Directions
